#,oid,tag,tag_detailed,Comments
28,807202400045775,artefact,ghost,dispersed LC
34,807208200053977,artefact,ghost,3-point up
39,807202400045768,artefact,ghost,dispersed LC
40,807202400056014,artefact,ghost,dispersed LC
41,807204300037369,artefact,bright star,dispersed LC
44,807205300063328,artefact,bright star,dispersed LC
45,807211300045106,artefact,bright star,dispersed LC
49,807204200066341,artefact,ghost,dispersed LC
50,807204200055876,artefact,ghost,dispersed LC
51,807212200055363,artefact,ghost,dispersed LC
56,807208200045405,artefact,ghost,dispersed LC
57,807207400051280,artefact,,
5,807202300038681,Cataclysmic,UG,
47,807207300036103,Cataclysmic,UGZ,
62,807203400031819,Cataclysmic,UGSS,
16,807202400015654,Eclipsing,EA,
23,807209300012026,Eclipsing,EA,
26,807205200017536,Eclipsing,EA,EA/SD
30,807208300012891,Eclipsing,EA,
0,807208200059506,Eruptive,INS,
2,807209400037670,Pulsating,Mira,
3,807206400014916,Pulsating,Mira:,"Xiaodian et al., 2020"
4,807211300006190,Pulsating,Mira:,"Xiaodian et al., 2020; asymmetric LC"
6,807216100038423,Pulsating,"AGB, Mira","Xiaodian et al., 2020"
7,807208300016714,Pulsating,Mira,
8,807206300013468,Pulsating,Mira,
9,807214300010833,Pulsating,Mira:,"Xiaodian et al., 2020"
10,807203300044912,Pulsating,Mira,
11,807214100007080,Pulsating,Mira,
12,807215200006611,Pulsating,Mira,
17,807209300037143,Pulsating,Mira,
18,807216200026731,Pulsating,Mira,
19,807210100028861,Pulsating,"L, LPV, Mira","Xiaodian et al., 2020"
20,807206200023036,Pulsating,Mira,
29,807212200034055,Pulsating,Mira,
31,807212300038616,Pulsating,"L, Mira",
33,807215100019764,Pulsating,Mira:,"Xiaodian et al., 2020"
37,807208400015695,Pulsating,Mira,
52,807216200045725,Pulsating,Mira,
54,807214100042070,Pulsating,Mira,
59,807201100022915,Pulsating,Mira,
61,807211100059466,Pulsating,Mira,
13,807203200013118,uncat,,ZTF18abfyqzh; RRL: - definetly not; EB?
24,807204400014494,uncat,,ZTF18abhakel; RRL: - not sure; EB?
25,807211400009493,uncat,,ZTF18abjcvcb; Var:;EB?
32,807203300039547,uncat,,1-point up
35,807208400036953,uncat,,ZTF18abflqpt; CV/Nova: AGN:; EB?
36,807212100012737,uncat,,ZTF17aaaeesd; CV/Nova: Variable Star:
42,807210200004045,uncat,,
46,807210200026027,uncat,,quasar?
48,807204200004799,uncat,,EB?
55,807216400013229,uncat,,EB? Periodic
1,807206200014645,Var,YSO,Young stellar Object of unspecified variable type.
14,807207100005929,Var,"LPV, Mira","Long Period Variables (red stars) of unspecified type; Xiaodian et al., 2020"
15,807203400037050,Var,Mira,"Xiaodian et al., 2020"
21,807214300051120,Var,Mira,"Xiaodian et al., 2020"
22,807209100042420,Var,Mira,"Xiaodian et al., 2020"
27,807212100020830,Var,Mira,"Xiaodian et al., 2020"
38,807206200004116,Var,YSO,Young stellar Object of unspecified variable type.
43,807214100026393,Var,Mira,"Xiaodian et al., 2020"
53,807206200003542,Var,,
58,807211300012948,Var,Mira,"Xiaodian et al., 2020"
60,807202100027080,Var,EA:,"Xiaodian et al., 2020"
